"","P09923","P05186","P05187","P10696","A0A2R8YDJ8.1","A0A2R8YDJ8.2","O60729.1","O60729.2","Q16667","P28562","Q05923","Q13115","Q16690","Q9Y6W6","O75319","Q9UNI6","Q6FI36","Q8NEJ0","Q9H596","Q4G0W2","Q9H1R2","Q9NRW4","Q8WTR2","Q9BVJ7","Q68J44","Q9UII6","Q9BV47","Q5VZP5","P51452","Q16828","Q16829","Q99956","Q9BY84","Q13202","O95278","Q93096","Q12974","O75365","A2A3K4","Q8WUK0","O60942","Q8WYL5","Q76I76","Q8TE77","Q8WUJ0","Q9Y6J8","Q13496","Q13613","Q13614","Q9NXD2","A4FU01","Q9C0I1","Q8NCE2","Q13615","Q9NYA4","O95248","Q86WG5","Q9Y217","Q9Y216","Q96EF0","Q96QG7","Q9ULE6.1","Q9ULE6.2","O75061","O14976","P60484","Q9HBL0","Q63HR2","Q68CZ2","P56180","Q6XPS3","P18031","P17706","Q05209","Q99952","Q9Y2R2","Q12923","Q4JDL3","Q15678","Q16825","Q9H3S7","P26045","P29074","P54829","P35236","Q15256","Q06124","Q53XS4","Q6IQ43","P18433.1","P18433.2","P23469.1","P23469.2","P23467","Q9HD43","Q12913","Q16827","A0A087WZU1","P08575.1","P08575.2","Q2HXI4.1","Q2HXI4.2","P10586.1","P10586.2","Q13332.1","Q13332.2","P23470.1","P23470.2","P23471.1","P23471.2","Q5TG12.1","Q5TG12.2","P28827.1","P28827.2","O14522.1","O14522.2","Q92729.1","Q92729.2","Q16849","Q92932","Q92562","Q9Y2H2","Q9NTJ5","O43426","O15056","P24666","Q9NP77","P30304","P30305","P30307","Q99502","O00167","Q99504","A0A0S2Z3Q2","Q05D32","O95476","Q9Y5B0","Q9GZU7","O14595","O15194","Q3ZCQ8","Q8WVY7","Q9BXW7","Q9H0R4","Q9H008","Q96GD0","A6NDG6","P16118","O60825","Q16875","Q16877","P07738","Q6FHU2","P15259","Q8N0Y7","Q96HS1","P57075","Q8TF42","Q9NQ88","P11117","P15309","Q9BZG2","Q9NPH0","Q9UNW1","B7WPL9","A0A087WZV0","Q8TE99","Q9NRX4","Q9H0C8","Q9P0J1","Q9P2J9","O60346","Q6ZVD8","A8MPX8","P35813","O75688","Q8N819","O15297","Q8WY54","P49593","O15355","Q9ULR3","Q5JR12","Q96MI6","Q8N3J5","Q5SGD2","Q8NI37","Q15750","P13686","Q6ZNF0","P62136","P62140","P36873","P67775","P62714","Q08209","P16298","P48454","P60510","P53041","O00743","O14829","O14830","Q8IXW5"
"Q13614",0.8898,0.87511,0.89477,0.89714,0.86703,0.87579,0.87632,0.87168,0.88935,0.88825,0.88399,0.88783,0.87154,0.87623,0.88294,0.88002,0.85795,0.89078,0.87509,0.88204,0.88271,0.8629,0.87121,0.88024,0.88271,0.89789,0.88624,0.87681,0.85612,0.87094,0.8671,0.88459,0.8839,0.88314,0.87417,0.89452,0.86977,0.87768,0.86362,0.8759,0.88491,0.88553,0.85816,0.87138,0.87564,0.86647,0.22517,0.17037,0,0.84256,0.83471,0.8823,0.89031,0.62849,0.60108,0.86754,0.85833,0.68857,0.71716,0.6891,0.80395,0.87535,0.90494,0.8731,0.8736,0.85281,0.87646,0.87573,0.88387,0.88002,0.89288,0.88204,0.88913,0.87614,0.89572,0.88949,0.8809,0.88662,0.86529,0.8633,0.89683,0.8823,0.85047,0.87218,0.88168,0.88442,0.88404,0.8648,0.88357,0.88089,0.88193,0.88429,0.88353,0.87842,0.86067,0.88381,0.86365,0.88459,0.88317,0.88955,0.89896,0.88395,0.90215,0.88429,0.88349,0.88172,0.87054,0.86069,0.86189,0.89138,0.87707,0.88403,0.87105,0.89206,0.87961,0.88744,0.86203,0.8721,0.86859,0.89107,0.88082,0.88257,0.8928,0.89142,0.89028,0.8877,0.87861,0.88089,0.8847,0.88493,0.88655,0.8971,0.8955,0.87614,0.87463,0.88558,0.8906,0.87384,0.89067,0.88798,0.89348,0.88136,0.87995,0.87787,0.88087,0.88924,0.89527,0.84223,0.87865,0.86051,0.85944,0.88162,0.88726,0.8803,0.86966,0.88793,0.87366,0.86182,0.88058,0.88477,0.89992,0.87322,0.87667,0.85993,0.88649,0.8811,0.89319,0.87744,0.88862,0.88986,0.86967,0.86105,0.89182,0.88705,0.88999,0.88098,0.8797,0.88542,0.87655,0.88678,0.90109,0.88259,0.89368,0.89325,0.89186,0.88893,0.87646,0.88579,0.8915,0.84368,0.89322,0.88911,0.89222,0.88447,0.89201,0.87901,0.87904,0.89447,0.89613,0.87509,0.88334,0.89382,0.87018,0.87859
"Q9NXD2",0.88992,0.87511,0.89377,0.88756,0.8718,0.88244,0.88506,0.87389,0.89281,0.8846,0.88843,0.87734,0.86473,0.88932,0.896,0.8943,0.8914,0.89295,0.89767,0.89148,0.88769,0.89207,0.87783,0.88732,0.8675,0.89776,0.88629,0.88143,0.87136,0.89099,0.88614,0.89135,0.88911,0.88156,0.88102,0.89164,0.87587,0.86145,0.89111,0.88114,0.89332,0.88832,0.89591,0.89378,0.89549,0.88902,0.85605,0.82623,0.84256,0,0.85676,0.8123,0.88866,0.84881,0.86149,0.88607,0.88343,0.85782,0.83543,0.86568,0.87695,0.88145,0.89267,0.88848,0.88538,0.86536,0.8792,0.8959,0.89207,0.89944,0.8696,0.89494,0.8823,0.89274,0.88538,0.89547,0.89526,0.87617,0.87733,0.89309,0.88639,0.89423,0.88743,0.89512,0.88587,0.86389,0.88595,0.89556,0.83687,0.8837,0.87748,0.86047,0.8763,0.89278,0.88348,0.83331,0.89025,0.89334,0.88035,0.88123,0.88491,0.89618,0.89708,0.89446,0.89746,0.90022,0.89127,0.87881,0.89109,0.90017,0.86637,0.89113,0.88431,0.87918,0.89359,0.88881,0.89684,0.88297,0.85164,0.83267,0.88963,0.87823,0.88264,0.88842,0.88803,0.88934,0.86476,0.87388,0.87091,0.86477,0.88574,0.88417,0.89127,0.87923,0.88888,0.86935,0.87355,0.88325,0.8833,0.88582,0.87171,0.88794,0.89792,0.89136,0.88899,0.87441,0.89663,0.88919,0.8878,0.88445,0.88703,0.88171,0.85964,0.8602,0.88094,0.89834,0.89519,0.89561,0.88168,0.88089,0.88586,0.8811,0.88132,0.88262,0.87557,0.88803,0.87822,0.89147,0.88495,0.88739,0.86945,0.87914,0.86696,0.87989,0.88367,0.86486,0.88268,0.89699,0.87477,0.88368,0.85521,0.89184,0.87515,0.88506,0.8956,0.87362,0.88571,0.89252,0.89202,0.87748,0.88282,0.89056,0.86861,0.87714,0.86717,0.87722,0.85762,0.88035,0.89219,0.88745,0.90055,0.88645,0.89202,0.89717
"A4FU01",0.89859,0.84666,0.89275,0.89533,0.90214,0.88338,0.88316,0.89044,0.88961,0.89644,0.88449,0.88885,0.88411,0.89146,0.88679,0.89123,0.86311,0.8767,0.88139,0.8718,0.875,0.89607,0.89508,0.88757,0.88169,0.89854,0.88419,0.87611,0.89038,0.87927,0.87419,0.86783,0.88191,0.89438,0.89085,0.8997,0.88817,0.88907,0.89656,0.87626,0.87492,0.873,0.86911,0.89196,0.8784,0.88692,0.81873,0.85692,0.83471,0.85676,0,0.87393,0.88858,0.88737,0.88783,0.87869,0.89402,0.88826,0.87808,0.88191,0.87194,0.88337,0.87973,0.89472,0.88938,0.89719,0.8704,0.88394,0.87999,0.87988,0.86626,0.88304,0.87559,0.88504,0.86501,0.86855,0.88577,0.89679,0.8812,0.87115,0.88312,0.88427,0.88945,0.89941,0.87039,0.87692,0.89167,0.89146,0.88509,0.87139,0.8949,0.8863,0.87453,0.87441,0.89658,0.88925,0.89304,0.87436,0.86854,0.88325,0.89085,0.88968,0.89912,0.89402,0.8993,0.89605,0.87079,0.87521,0.8649,0.87662,0.88351,0.89294,0.87867,0.89036,0.87509,0.86803,0.89565,0.88235,0.88369,0.90506,0.86512,0.89112,0.88692,0.87935,0.87741,0.88348,0.89222,0.89786,0.87641,0.85783,0.88345,0.87158,0.88589,0.88236,0.90076,0.89814,0.88792,0.88857,0.89374,0.8883,0.88905,0.89252,0.89216,0.88655,0.89291,0.86437,0.87879,0.88326,0.89653,0.89244,0.89335,0.8895,0.87166,0.88385,0.87882,0.88055,0.9017,0.88958,0.88438,0.87779,0.87453,0.87394,0.89822,0.89104,0.88345,0.89287,0.87957,0.89876,0.88385,0.88755,0.90002,0.87835,0.88329,0.89453,0.89851,0.8926,0.89335,0.89306,0.88539,0.87152,0.88619,0.85071,0.87244,0.90105,0.86531,0.87569,0.88321,0.89828,0.88571,0.88889,0.88402,0.88237,0.89066,0.89156,0.87354,0.87998,0.87463,0.87676,0.90112,0.88619,0.88203,0.88675,0.89282,0.87984
"Q9C0I1",0.88243,0.8882,0.88198,0.88119,0.88038,0.88121,0.86002,0.86874,0.88923,0.88578,0.89364,0.89408,0.8844,0.89699,0.88858,0.88778,0.88823,0.88433,0.88582,0.88791,0.88979,0.88236,0.89619,0.84978,0.86955,0.86522,0.87627,0.8755,0.90227,0.87753,0.88729,0.88755,0.88668,0.87973,0.90542,0.87643,0.89708,0.88819,0.88674,0.89258,0.87729,0.90052,0.88048,0.88868,0.88745,0.88043,0.89463,0.88855,0.8823,0.8123,0.87393,0,0.8854,0.89745,0.89669,0.89343,0.86577,0.84872,0.89647,0.86462,0.88712,0.89759,0.88674,0.87743,0.89158,0.88202,0.89578,0.88873,0.87269,0.898,0.8908,0.87595,0.88195,0.87515,0.87937,0.88213,0.88186,0.89193,0.89722,0.87264,0.89675,0.89055,0.88883,0.88316,0.88444,0.88311,0.87595,0.89493,0.88143,0.88852,0.89602,0.90041,0.89284,0.893,0.89653,0.89472,0.88279,0.88785,0.88708,0.87983,0.87684,0.88784,0.87122,0.88795,0.87468,0.8846,0.87796,0.8831,0.88912,0.87666,0.87804,0.89674,0.90504,0.89894,0.88711,0.89032,0.89508,0.90062,0.88004,0.87195,0.90029,0.88986,0.8759,0.89554,0.89474,0.88438,0.87864,0.8983,0.88535,0.8985,0.89372,0.886,0.88538,0.8967,0.87236,0.88897,0.89405,0.89429,0.88178,0.89695,0.88545,0.88623,0.88188,0.88129,0.86925,0.88231,0.8901,0.87829,0.87956,0.88834,0.88358,0.87852,0.89729,0.88839,0.89389,0.88781,0.89293,0.88726,0.89148,0.88428,0.88639,0.8884,0.90236,0.88338,0.89832,0.89469,0.88541,0.89581,0.87912,0.87536,0.8979,0.88855,0.88101,0.88276,0.89014,0.89603,0.8822,0.87826,0.88526,0.88786,0.88983,0.87729,0.89246,0.88047,0.88199,0.87846,0.88999,0.88753,0.88274,0.87822,0.89151,0.89318,0.88173,0.88052,0.88717,0.87636,0.86739,0.86991,0.87291,0.8894,0.88536,0.8804,0.8814,0.88242
"Q8NCE2",0.88551,0.87678,0.87255,0.87888,0.86725,0.83968,0.85582,0.81997,0.86154,0.86289,0.86128,0.87051,0.86138,0.86085,0.83993,0.85774,0.85818,0.87029,0.85928,0.86213,0.83869,0.84889,0.85258,0.8514,0.84457,0.8398,0.7808,0.8161,0.84775,0.84496,0.84728,0.85441,0.82963,0.85567,0.79709,0.8468,0.8583,0.85646,0.86987,0.8451,0.85252,0.84275,0.8111,0.84446,0.84832,0.85524,0.89756,0.89823,0.89031,0.88866,0.88858,0.8854,0,0.88794,0.8421,0.89714,0.89676,0.88635,0.88891,0.87457,0.87937,0.88112,0.87902,0.85229,0.82658,0.85492,0.86488,0.86452,0.8316,0.8487,0.84416,0.8461,0.86109,0.86421,0.87153,0.88097,0.87721,0.8685,0.88989,0.87363,0.85676,0.85795,0.8649,0.87426,0.88324,0.86795,0.86231,0.86003,0.86953,0.87382,0.87098,0.86738,0.86791,0.87654,0.86189,0.89089,0.86248,0.87666,0.87329,0.88297,0.87849,0.84676,0.87279,0.86638,0.86949,0.84929,0.87765,0.87248,0.88151,0.86614,0.88149,0.83864,0.86387,0.84307,0.85047,0.8283,0.86655,0.86985,0.87335,0.86997,0.87644,0.86117,0.87443,0.86148,0.86086,0.86372,0.85756,0.8484,0.79772,0.84345,0.87905,0.87848,0.88329,0.8741,0.82915,0.83316,0.82203,0.82379,0.84242,0.83728,0.83852,0.85265,0.87166,0.864,0.85049,0.83991,0.85727,0.83348,0.84307,0.8292,0.85746,0.87342,0.82583,0.83343,0.83494,0.85152,0.86823,0.86556,0.85181,0.86659,0.8734,0.87174,0.88158,0.88687,0.8589,0.88188,0.88923,0.8589,0.86102,0.85723,0.86687,0.86791,0.87478,0.89019,0.86423,0.86316,0.85634,0.85071,0.8665,0.87284,0.87704,0.88403,0.88744,0.8899,0.89168,0.87241,0.84082,0.89361,0.86021,0.86149,0.85467,0.86608,0.87203,0.87159,0.878,0.84314,0.86246,0.8631,0.84843,0.86284,0.87502,0.88708,0.88573,0.84272
"Q13615",0.88399,0.88867,0.89093,0.89705,0.89888,0.89049,0.88981,0.87433,0.89107,0.88963,0.88392,0.87523,0.88808,0.87975,0.87979,0.89086,0.86947,0.86517,0.87937,0.89043,0.86209,0.87757,0.88842,0.88676,0.88838,0.88983,0.8733,0.88879,0.88652,0.89092,0.87989,0.89155,0.87494,0.89062,0.86845,0.88176,0.88855,0.8749,0.88488,0.89154,0.88683,0.87717,0.88459,0.88209,0.86287,0.88101,0.64593,0.64572,0.62849,0.84881,0.88737,0.89745,0.88794,0,0.51846,0.85074,0.88285,0.78675,0.84933,0.8481,0.84534,0.89105,0.89482,0.88207,0.89168,0.87902,0.88928,0.88153,0.88619,0.88153,0.88627,0.8923,0.86821,0.85582,0.88391,0.89157,0.89217,0.84962,0.87551,0.8858,0.89172,0.88672,0.88248,0.88527,0.89958,0.89011,0.86724,0.88353,0.86592,0.88579,0.87011,0.8509,0.87962,0.9033,0.88103,0.89794,0.87723,0.89069,0.89986,0.88798,0.87583,0.88531,0.86931,0.89344,0.87924,0.89292,0.88047,0.8612,0.88829,0.88577,0.87252,0.87726,0.88378,0.87396,0.8891,0.88187,0.86649,0.87477,0.89386,0.86405,0.88377,0.8896,0.90055,0.87848,0.88756,0.88522,0.88737,0.88075,0.88894,0.87796,0.8945,0.8895,0.88221,0.89648,0.8853,0.8848,0.89075,0.87618,0.87812,0.88679,0.88876,0.88452,0.88517,0.89099,0.89468,0.88955,0.88498,0.88707,0.87967,0.89152,0.89286,0.87564,0.8569,0.88611,0.88116,0.87943,0.88797,0.87926,0.88662,0.85756,0.86948,0.88501,0.88159,0.8691,0.8983,0.88074,0.8854,0.89571,0.88188,0.88206,0.8796,0.89331,0.89335,0.86899,0.87966,0.88247,0.86584,0.87359,0.8858,0.87343,0.90714,0.8854,0.88243,0.86349,0.88511,0.8668,0.8902,0.84691,0.87947,0.89045,0.89072,0.8963,0.89996,0.87655,0.87835,0.90179,0.89528,0.89422,0.88871,0.87781,0.88075,0.89341,0.88636,0.89299
"Q9NYA4",0.88912,0.88931,0.89091,0.89749,0.88947,0.88544,0.86982,0.89083,0.89694,0.88192,0.87644,0.87469,0.88426,0.88112,0.88565,0.88992,0.88811,0.8879,0.86964,0.88082,0.88016,0.87441,0.8853,0.85852,0.88677,0.88,0.89448,0.89026,0.89719,0.87544,0.87081,0.89417,0.86498,0.87761,0.87387,0.87486,0.8599,0.86362,0.88295,0.89681,0.88398,0.87661,0.8896,0.88578,0.8917,0.88514,0.59726,0.61637,0.60108,0.86149,0.88783,0.89669,0.8421,0.51846,0,0.87691,0.86765,0.82097,0.83013,0.8414,0.82519,0.87619,0.88303,0.88195,0.88314,0.8681,0.87995,0.88943,0.8911,0.8946,0.8836,0.87725,0.89057,0.86293,0.86743,0.88635,0.88255,0.88772,0.87356,0.88955,0.87542,0.86373,0.88546,0.89909,0.87833,0.8737,0.88077,0.88464,0.88962,0.90072,0.88508,0.89127,0.90154,0.88371,0.89225,0.8944,0.87893,0.89253,0.88748,0.89357,0.87204,0.89543,0.87534,0.89741,0.8876,0.9019,0.90138,0.87147,0.89009,0.88524,0.8867,0.88961,0.89207,0.8974,0.88661,0.89333,0.87843,0.89423,0.87935,0.87333,0.89164,0.8886,0.88022,0.88541,0.8924,0.88302,0.87911,0.88398,0.88114,0.88037,0.89458,0.88438,0.87462,0.87734,0.88228,0.85514,0.89031,0.88624,0.88439,0.8773,0.8918,0.89669,0.89148,0.89555,0.87323,0.89295,0.8847,0.85626,0.86772,0.88052,0.87362,0.88949,0.8658,0.87851,0.88671,0.86322,0.88372,0.87283,0.88551,0.88317,0.88179,0.89611,0.87844,0.87369,0.89147,0.88311,0.89105,0.88143,0.89369,0.88954,0.89148,0.89209,0.88138,0.88973,0.88451,0.88557,0.88683,0.86778,0.87834,0.89346,0.89679,0.89252,0.89687,0.89001,0.88675,0.89395,0.86767,0.8967,0.88992,0.87371,0.87293,0.88624,0.89209,0.88742,0.88986,0.89102,0.89379,0.89801,0.90111,0.88069,0.89997,0.8967,0.88066,0.89574
"O95248",0.88681,0.89053,0.88419,0.88162,0.88949,0.87561,0.89203,0.8845,0.86936,0.89218,0.86155,0.8902,0.88141,0.90414,0.88618,0.90585,0.88839,0.8985,0.88837,0.88387,0.89504,0.88311,0.88474,0.89552,0.88201,0.88616,0.89568,0.8921,0.88212,0.89259,0.88219,0.88523,0.87936,0.8811,0.87504,0.88924,0.88153,0.87839,0.89354,0.89494,0.87057,0.86332,0.88427,0.88896,0.89471,0.89297,0.88407,0.88434,0.86754,0.88607,0.87869,0.89343,0.89714,0.85074,0.87691,0,0.7363,0.87098,0.88571,0.89335,0.88748,0.89661,0.87058,0.89199,0.89585,0.89903,0.86753,0.87857,0.87816,0.89844,0.88667,0.88356,0.89272,0.89371,0.88105,0.89096,0.88529,0.89318,0.89634,0.88885,0.86997,0.88593,0.88309,0.88331,0.88533,0.88171,0.86501,0.8846,0.86946,0.89336,0.87814,0.89661,0.86443,0.86432,0.89032,0.88707,0.87868,0.88043,0.8912,0.88941,0.9047,0.88841,0.90732,0.87438,0.88875,0.87859,0.88558,0.87911,0.89199,0.86445,0.88884,0.89521,0.85774,0.89888,0.86699,0.88743,0.88152,0.888,0.89169,0.89013,0.89212,0.89994,0.89649,0.87707,0.89303,0.85071,0.89169,0.88399,0.88783,0.88972,0.88653,0.87999,0.87219,0.88238,0.88205,0.85993,0.86883,0.88413,0.88634,0.88911,0.8947,0.88033,0.86616,0.89178,0.87866,0.88041,0.88224,0.87235,0.8953,0.86478,0.86961,0.89841,0.86877,0.87052,0.87977,0.89264,0.88681,0.86674,0.87285,0.89291,0.88583,0.90041,0.88238,0.87232,0.88688,0.87707,0.89566,0.87975,0.88781,0.89392,0.89591,0.89501,0.87556,0.87153,0.89923,0.88997,0.88867,0.87139,0.87002,0.89597,0.88688,0.89264,0.87285,0.89386,0.89447,0.87412,0.8956,0.89059,0.87478,0.88459,0.89699,0.89272,0.88704,0.88792,0.88211,0.87566,0.88608,0.88176,0.88031,0.88515,0.89157,0.86314,0.89109,0.88792
"Q86WG5",0.89215,0.87916,0.87133,0.87614,0.88811,0.89125,0.8956,0.89126,0.88167,0.87407,0.88035,0.8701,0.887,0.88568,0.87502,0.88352,0.88764,0.88863,0.86937,0.88127,0.88617,0.87982,0.90206,0.8919,0.87572,0.89228,0.88978,0.88791,0.88909,0.8986,0.89432,0.89708,0.89184,0.88542,0.8783,0.87605,0.87578,0.88544,0.89292,0.89986,0.88716,0.89221,0.8996,0.90262,0.88831,0.90178,0.87569,0.84746,0.85833,0.88343,0.89402,0.86577,0.89676,0.88285,0.86765,0.7363,0,0.87602,0.86229,0.88385,0.87418,0.87476,0.8582,0.89341,0.88747,0.88706,0.89785,0.88506,0.88554,0.89464,0.88122,0.87781,0.88599,0.8905,0.88974,0.90011,0.88852,0.89477,0.88108,0.88447,0.8835,0.88853,0.86996,0.88505,0.88167,0.88316,0.89625,0.88803,0.89536,0.89974,0.86981,0.87433,0.86162,0.89194,0.8867,0.89369,0.88873,0.87359,0.88575,0.89725,0.89164,0.87495,0.88574,0.8859,0.89526,0.85999,0.88261,0.85923,0.88749,0.88335,0.85238,0.89012,0.87957,0.88585,0.89124,0.87284,0.87212,0.87782,0.88874,0.88441,0.88049,0.89347,0.88392,0.89494,0.88645,0.90106,0.8573,0.889,0.88488,0.87368,0.88851,0.88244,0.87386,0.88234,0.89258,0.8796,0.89358,0.87051,0.89538,0.89965,0.88948,0.89669,0.88319,0.89392,0.87641,0.88062,0.87304,0.89081,0.87913,0.86823,0.8785,0.89043,0.89461,0.89829,0.89389,0.88435,0.88751,0.88951,0.85549,0.88454,0.87171,0.88749,0.8942,0.889,0.89176,0.87777,0.87028,0.89444,0.8878,0.8903,0.86467,0.89463,0.89532,0.89466,0.88016,0.88852,0.89887,0.90005,0.88954,0.87372,0.87955,0.89608,0.88956,0.89156,0.89417,0.88376,0.87344,0.89808,0.88555,0.85996,0.89396,0.89524,0.88077,0.87988,0.8816,0.87983,0.87314,0.86888,0.86216,0.87651,0.87456,0.88841,0.86213,0.89022
"Q9Y217",0.88308,0.88718,0.88887,0.89386,0.86037,0.87343,0.85541,0.89336,0.8882,0.87138,0.8593,0.89068,0.86896,0.88592,0.88083,0.89707,0.88988,0.89683,0.87545,0.86796,0.88273,0.86994,0.87602,0.90011,0.8881,0.87271,0.884,0.876,0.89541,0.8751,0.88942,0.86627,0.89236,0.88455,0.88818,0.88847,0.8793,0.88189,0.87645,0.87489,0.88652,0.86372,0.89095,0.88548,0.88832,0.87815,0.67223,0.69481,0.68857,0.85782,0.88826,0.84872,0.88635,0.78675,0.82097,0.87098,0.87602,0,0.35543,0.34789,0.78623,0.89207,0.8672,0.88116,0.88607,0.89175,0.87396,0.87132,0.87014,0.88731,0.87917,0.89037,0.84469,0.86802,0.89471,0.88708,0.87042,0.87676,0.88619,0.86847,0.88793,0.8858,0.87359,0.89156,0.88897,0.88957,0.86366,0.89141,0.87524,0.88553,0.89436,0.89072,0.87754,0.86848,0.88394,0.89793,0.87776,0.89002,0.87986,0.88735,0.88887,0.88681,0.88326,0.8753,0.8848,0.88576,0.89721,0.85379,0.89245,0.87255,0.87613,0.88779,0.88661,0.87209,0.8873,0.88361,0.89625,0.87879,0.87874,0.88653,0.89478,0.88201,0.88786,0.89292,0.88118,0.8862,0.88869,0.85238,0.87001,0.88562,0.88005,0.86205,0.89047,0.88943,0.89486,0.88161,0.88412,0.88339,0.8806,0.87883,0.85895,0.88256,0.8631,0.86614,0.87297,0.89476,0.86659,0.88638,0.86918,0.89232,0.88434,0.89708,0.86175,0.8906,0.86924,0.88298,0.88836,0.88074,0.88505,0.89493,0.88621,0.89091,0.8841,0.87494,0.88805,0.88759,0.88689,0.89108,0.88189,0.88689,0.90083,0.88407,0.88641,0.88383,0.88743,0.87269,0.88976,0.88706,0.87675,0.89291,0.89399,0.89378,0.87405,0.90094,0.89575,0.88986,0.88458,0.8542,0.89186,0.86929,0.88782,0.85316,0.8541,0.88647,0.87924,0.88275,0.88317,0.88538,0.88351,0.89036,0.88847,0.89242,0.88539,0.8767
"Q9Y216",0.89087,0.89277,0.87764,0.88982,0.88461,0.88748,0.86884,0.8797,0.85485,0.8849,0.87989,0.88915,0.87326,0.8793,0.87119,0.86648,0.86763,0.85147,0.89245,0.88599,0.87115,0.87286,0.88577,0.86688,0.85661,0.87995,0.89631,0.89395,0.88221,0.89009,0.89368,0.888,0.89075,0.87529,0.86323,0.88242,0.86701,0.89738,0.88602,0.8917,0.88843,0.87704,0.90171,0.86302,0.89683,0.87209,0.71613,0.69281,0.71716,0.83543,0.87808,0.89647,0.88891,0.84933,0.83013,0.88571,0.86229,0.35543,0,0.34258,0.80212,0.87676,0.8826,0.87434,0.88287,0.87924,0.87184,0.88695,0.88423,0.89202,0.88391,0.88835,0.88705,0.88357,0.87927,0.88531,0.89877,0.89759,0.89383,0.8909,0.89482,0.8628,0.88076,0.88859,0.87976,0.88388,0.87402,0.87259,0.87204,0.86976,0.88028,0.88395,0.89299,0.88927,0.89206,0.88074,0.86444,0.86776,0.89246,0.89119,0.89738,0.86616,0.87544,0.86868,0.88812,0.88068,0.881,0.86841,0.85691,0.90052,0.88085,0.88423,0.88288,0.88909,0.88288,0.88095,0.88521,0.88344,0.88034,0.8864,0.88722,0.85969,0.87446,0.88106,0.89168,0.90109,0.87638,0.88881,0.87941,0.87534,0.88979,0.87234,0.87404,0.88001,0.89434,0.88211,0.89096,0.8738,0.88037,0.89109,0.86917,0.87625,0.85199,0.87979,0.87562,0.89359,0.87616,0.89027,0.88774,0.87982,0.903,0.89084,0.8821,0.86936,0.88407,0.88843,0.87059,0.88179,0.8891,0.88756,0.89301,0.88654,0.88786,0.89719,0.89923,0.87265,0.87844,0.88423,0.88865,0.8837,0.8832,0.8908,0.87117,0.89103,0.8869,0.89837,0.8661,0.87321,0.87438,0.87823,0.88768,0.88838,0.88086,0.88419,0.88664,0.88267,0.86279,0.89727,0.87622,0.87056,0.86516,0.8791,0.88773,0.87229,0.87797,0.88862,0.87655,0.89626,0.87739,0.89476,0.88807,0.88329,0.86977,0.8725
"Q96EF0",0.88903,0.89516,0.88972,0.89441,0.88235,0.87645,0.88656,0.89268,0.87916,0.85075,0.86275,0.87351,0.8675,0.89321,0.87359,0.87269,0.88118,0.87885,0.89231,0.8744,0.89352,0.86136,0.87588,0.88506,0.87708,0.87989,0.88514,0.87357,0.87998,0.88683,0.87288,0.88145,0.88446,0.87382,0.86191,0.88088,0.86884,0.87708,0.88269,0.87038,0.89823,0.88507,0.89085,0.86998,0.88683,0.89545,0.69731,0.67165,0.6891,0.86568,0.88191,0.86462,0.87457,0.8481,0.8414,0.89335,0.88385,0.34789,0.34258,0,0.7811,0.88094,0.86266,0.87875,0.88905,0.8974,0.87203,0.88313,0.87077,0.86366,0.8676,0.8885,0.85227,0.89033,0.86432,0.8887,0.88221,0.88262,0.87671,0.88151,0.88905,0.88544,0.89293,0.87862,0.88099,0.85467,0.8807,0.89171,0.89839,0.89623,0.88942,0.88329,0.89459,0.86957,0.8907,0.87635,0.88413,0.87271,0.89181,0.88415,0.88972,0.89791,0.88814,0.88242,0.89129,0.89394,0.86294,0.88632,0.87606,0.90271,0.89104,0.88617,0.89009,0.88519,0.89225,0.8868,0.88296,0.902,0.82694,0.864,0.89342,0.87486,0.88483,0.89911,0.88689,0.90109,0.8921,0.87887,0.87501,0.88318,0.8569,0.86609,0.8847,0.88743,0.88518,0.88605,0.87986,0.88326,0.88718,0.88903,0.88014,0.88412,0.87362,0.87387,0.86061,0.89145,0.89281,0.87647,0.89444,0.88539,0.87166,0.8847,0.89373,0.88415,0.88891,0.89256,0.87932,0.8842,0.88812,0.90085,0.87321,0.88596,0.86625,0.88224,0.88853,0.88891,0.89738,0.89145,0.89583,0.87594,0.90056,0.87882,0.88835,0.89422,0.88958,0.88389,0.8691,0.88899,0.87301,0.87698,0.88827,0.902,0.88757,0.87985,0.87977,0.89171,0.85702,0.8907,0.88512,0.8684,0.8833,0.87363,0.89313,0.88531,0.88199,0.8794,0.87207,0.87823,0.88895,0.88022,0.88287,0.85045,0.88949,0.86851
